"","logFC","logCPM","PValue","FDR"
"lp_1885",0.651746445134665,8.27575173020012,0.000184770127246965,0.000855818120763139
"lp_0809",0.650410329487762,4.96276365196876,0.00152111355230584,0.00551185827300349
"lp_2521",0.64564053552378,5.50788816864431,0.00171902841301884,0.00611885676273907
"lp_2915",0.645021886265788,6.58396168211073,0.00116070241980748,0.00438137790472382
"lp_0562",0.644213995635424,9.21813702696036,0.000450892280376691,0.00189786218394296
"lp_1711",0.643333965873434,8.10540704726992,0.000424150968730108,0.00180243808976672
"lp_0335",0.642254920429251,8.51912452127897,0.0002514976278234,0.00113404429328108
"lp_0601",0.639587636746405,10.5727200218986,0.00039599949471389,0.00170572544999329
"lp_1296",0.637601095522976,6.0823877300986,0.000951596997247288,0.00368972986323204
"lp_0766",0.634889167346533,6.79609439667468,0.000409033151340501,0.00175164293436725
"lp_1360",0.633026950831854,9.61457335289999,0.000443868597528818,0.00187542953230688
"lp_2206",0.626934472067029,6.76783522891848,0.000669399070929517,0.00270446996904736
"lp_0853",0.62512884554933,9.18405198836814,0.00091842314962668,0.00359255981143723
"lp_2612",0.622350390195955,8.51417167465049,0.00115290938117425,0.00436331858105946
"lp_2887",0.619778389177937,7.09037582761144,0.000104864440123978,0.00050471710964019
"lp_3288",0.618512632152751,6.85418920493318,0.000443780420099396,0.00187542953230688
"lp_0846",0.617555942894624,5.36668079860539,0.00191690580429727,0.00669585993237025
"lp_2109",0.613259616447445,8.08139119299731,0.000212984459524671,0.000974271887164507
"lp_1886",0.611089968016742,7.77860849649543,0.000286918196454077,0.00127047377389865
"lp_0169",0.610538299119658,7.35997045733974,0.00139188112536953,0.00509359472986468
"lp_3120",0.60638126022718,6.17335625956704,0.00188172944977442,0.00660245483645099
"lp_2773",0.605055304137284,5.14275099009396,0.00276933581836641,0.0091786070387174
"lp_3044",0.599481223065634,7.96050339547489,0.000504409993099448,0.00210313319156719
"lp_1426",0.598650770235992,5.93503613125039,0.00130901961775801,0.0048464371801275
"lp_2515",0.597540837524423,6.7696909036189,0.000399329625277833,0.00171672969002936
"lp_2330",0.593776177193776,6.6182337486492,0.000770555729744668,0.00307389258676521
"lp_1295",0.592518709334009,6.21152913702276,0.00137910316221259,0.00507175801942968
"lp_0781",0.591674946313104,8.52040084335932,0.000671237725748065,0.00270695869727908
"lp_1169",0.583388957794495,8.76297505710576,0.00149714724926582,0.00544616062321831
"lp_1708",0.582198263929236,7.1924724024798,0.000341725560894211,0.0014893314799602
"lp_0057",0.581739429971736,5.91785186057992,0.00222894227463168,0.00760381848387447
"lp_0779",0.576845568263596,8.09081854716274,0.00233908963530241,0.00790745893569043
"lp_0111",0.576624272670989,7.91072226680654,0.00234295079576013,0.00790745893569043
"lp_1101",0.57595447266694,7.20720224317825,0.00079415575371474,0.00315445743819592
"lp_1453",0.572634138570384,5.87345991796598,0.00269440700296697,0.0089840619044712
"lp_2761",0.571838108325087,7.73929360232109,0.000608493324978224,0.00247647834834887
"lp_0221",0.570640179220195,7.05451259771796,0.00043739115457692,0.00185514179355039
"lp_2323",0.56799951146573,7.97572044834689,0.0011616390379733,0.00438137790472382
"lp_0957",0.566367377195351,6.25342788128011,0.00149806315245707,0.00544616062321831
"lp_2590",0.565800532565816,6.74963033365191,0.00204018350805443,0.00709099888042781
"lp_0977",0.558875967734854,9.25325047338085,0.00184737701752284,0.00652327387048734
"lp_2621",0.55232713696753,7.7386510523209,0.00234052661918765,0.00790745893569043
"lp_2137",0.551382230541927,8.68257432251438,0.00205114369468216,0.00711791871477475
"lp_2762",0.550353567902608,7.88324904632489,0.00119370327647847,0.00446428894277592
"lp_3259",0.545399667428895,7.05240538107368,0.000831446418076302,0.00327991640349218
"lp_1068",0.545281623170647,6.80926065955088,0.00272198987624802,0.00906238433986936
"lp_1608",0.536705867639688,8.15558025629192,0.00158268852023427,0.0057069582798024
"lp_1107",0.529403467375485,7.51535527017328,0.00118771783426564,0.00444942011009159
"lp_1660",0.529348275410325,6.81140906820928,0.00157355329510039,0.00568327405440826
