ID	WCFS1.glc.1	WCFS1.glc.2	WCFS1.rib.1	WCFS1.rib.2	NC8.glc.1	NC8.glc.2	NC8.rib.1	NC8.rib.2
lp_2122	8284	9123	8415	7969	7208	7266	7312	7328
lp_2123	4462	4606	4077	3520	3606	3312	2918	3074
lp_2125	17455	19846	11048	7209	18002	15065	7747	7256
lp_2126	22851	28432	19390	11866	26207	20492	15528	10707
lp_2128	3165	3382	2310	2618	2078	2507	2277	2542
lp_2129	2938	2718	2114	2715	2197	2493	2489	3013
lp_2130	738	585	541	620	571	574	645	767
lp_2131	590	518	427	497	219	286	129	174
lp_2132	2474	2640	2294	3150	2256	2916	3057	3751
lp_2133	737	731	716	972	773	966	1061	1391
lp_2134	1066	973	1015	1351	819	1070	1063	1479
lp_2135	296	224	213	342	248	216	263	316
lp_2136	17693	19588	21674	24412	20826	25100	28374	29801
lp_2137	3290	3634	4136	4809	4389	5400	5280	6114
lp_2141	866	733	497	398	1460	1305	703	851
lp_2143	469	503	380	282	708	583	441	499
lp_2146	64111	72670	30340	28712	55231	63783	33055	32772
lp_2147	1057	1055	1234	1354	948	948	1813	2031
lp_2149	437	414	523	668	309	453	671	948
lp_2150	295	270	430	546	282	325	648	833
lp_2151	621	786	38294	42099	626	759	46193	49132
lp_2152	524	629	32631	36091	541	771	44337	48884
lp_2153	346	470	20913	23881	398	502	29382	33261
lp_2154	324	389	18859	19625	444	438	24785	27782
lp_2155	4109	5067	4460	4146	4357	4355	6425	4951
lp_2156	358	321	191	222	385	330	192	282
lp_2157	1278	1269	1330	985	1569	1139	1093	932
lp_2158	20869	24077	20188	19608	20830	24268	22376	20067
lp_2159	2897	3120	1970	1701	2615	2986	1824	1741
lp_2160	1492	1666	1289	743	1423	1504	596	623
lp_2162	10982	14091	20556	23143	11307	13064	33519	30916
lp_2166	4077	4575	4055	4229	6070	6159	8290	7511
lp_2168	3494	3776	2077	2415	4005	4729	3523	3844
lp_2169	1278	1331	752	1033	1169	1630	1157	1487
lp_2170	583	514	250	412	474	661	491	613
lp_2173	100	118	82	107	74	113	156	128
lp_2174	52	83	52	79	62	96	98	108
lp_2175	45	42	30	60	36	56	63	64
lp_2176	368	386	236	374	305	415	330	481
lp_2177	855	730	719	917	727	846	819	913
lp_2178	6993	7241	4281	5047	5868	7879	4433	5011
